age,experience,income
25,1,30450
30,3,35670
47,2,31580
32,5,40130
43,10,47830
51,7,41630
28,5,41340
33,4,37650
37,5,40250
39,8,45150
29,1,27840
47,9,46110
54,5,36720
51,4,34800
44,12,51300
41,6,38900
58,17,63600
23,1,30870
44,9,44190
37,10,48700
29,3,30900
36,4,37650
56,12,50570
23,1,28270
60,11,55260
56,18,65640
39,11,51210
32,7,38800
31,5,33650
27,4,33040
60,14,60630
51,18,60400
57,15,60500
34,7,42360
36,8,41020
28,5,37390
45,9,44470
39,10,48230
32,6,36110
51,13,56620
42,13,51000
24,3,30030
26,3,30000
53,16,57850
38,7,43900
59,20,67900
36,11,48530
53,9,45330
31,8,42940
26,4,34340
38,11,50350
29,6,40440
43,9,43620
51,9,48110
33,5,38350
41,13,50160
45,14,56410
42,9,45090
41,8,44810
27,4,30790
56,22,73210
52,22,69140
55,25,74580
56,22,73650
41,10,47250
55,16,58940
26,2,31330
36,3,32240
26,4,30590
54,14,55140
56,13,54050
52,20,64240
28,5,35650
48,12,54150
28,3,29580
37,8,40470
49,12,50890
26,1,27000
56,22,73980
37,7,41510
35,8,40250
46,9,45130
51,14,54030
34,4,36430
56,11,49030
25,2,27000
54,10,46950
60,11,52710
29,6,38880
60,10,51080
59,21,68830
35,9,42600
38,9,45020
42,14,50950
51,16,56860
56,14,54900
44,16,57820
40,7,43210
55,10,52030
28,5,34350
